timestamp,bot_on,player
52685,1.0,5
52686,1.0,5
52687,1.0,5
52688,1.0,5
52689,1.0,5
52690,1.0,5
52691,1.0,5
52692,1.0,5
52693,1.0,5
52694,1.0,5
52695,1.0,5
52696,1.0,5
52697,1.0,5
52698,1.0,5
52699,1.0,5
52700,1.0,5
52701,1.0,5
52702,1.0,5
52703,1.0,5
52704,1.0,5
52705,1.0,5
52706,1.0,5
52707,1.0,5
52708,1.0,5
52709,1.0,5
52710,1.0,5
52711,1.0,5
52712,1.0,5
52713,1.0,5
52714,1.0,5
52715,1.0,5
52716,1.0,5
52717,1.0,5
52718,1.0,5
52719,1.0,5
52720,1.0,5
52721,1.0,5
52722,1.0,5
52723,1.0,5
52724,1.0,5
52725,1.0,5
52726,1.0,5
52727,1.0,5
52728,1.0,5
52729,1.0,5
52730,1.0,5
52731,1.0,5
52732,1.0,5
52733,1.0,5
52734,1.0,5
52735,1.0,5
52736,1.0,5
52737,1.0,5
52738,1.0,5
52739,1.0,5
52740,1.0,5
52741,1.0,5
52742,1.0,5
52743,1.0,5
52744,1.0,5
52745,1.0,5
52746,1.0,5
52747,1.0,5
52748,1.0,5
52749,1.0,5
52750,1.0,5
52751,1.0,5
52752,1.0,5
52753,1.0,5
52754,1.0,5
52755,1.0,5
52756,1.0,5
52757,1.0,5
52758,1.0,5
52759,1.0,5
52760,1.0,5
52761,1.0,5
52762,1.0,5
52763,1.0,5
52764,1.0,5
52765,1.0,5
52766,1.0,5
52767,1.0,5
52768,1.0,5
52769,1.0,5
52770,1.0,5
52771,1.0,5
52772,1.0,5
52773,1.0,5
52774,1.0,5
52775,1.0,5
52776,1.0,5
52777,1.0,5
52778,1.0,5
52779,1.0,5
52780,1.0,5
52781,1.0,5
52782,1.0,5
52783,1.0,5
52784,1.0,5
52785,1.0,5
52786,1.0,5
52787,1.0,5
52788,1.0,5
52789,1.0,5
52790,1.0,5
52791,1.0,5
52792,1.0,5
52793,1.0,5
52794,1.0,5
52795,1.0,5
52796,1.0,5
52797,1.0,5
52798,1.0,5
52799,1.0,5
52800,1.0,5
52801,1.0,5
52802,1.0,5
52803,1.0,5
52804,1.0,5
52805,1.0,5
52806,1.0,5
52807,1.0,5
52808,1.0,5
52809,1.0,5
52810,1.0,5
52811,1.0,5
52812,1.0,5
52813,1.0,5
52814,1.0,5
52815,1.0,5
52816,1.0,5
52817,1.0,5
52818,1.0,5
52819,1.0,5
52820,1.0,5
52821,1.0,5
52822,1.0,5
52823,1.0,5
52824,1.0,5
52825,1.0,5
52826,1.0,5
52827,1.0,5
52828,1.0,5
52829,1.0,5
52830,1.0,5
52831,1.0,5
52832,1.0,5
52833,1.0,5
52834,1.0,5
52835,1.0,5
52836,1.0,5
52837,1.0,5
52838,1.0,5
52839,1.0,5
52840,1.0,5
52841,1.0,5
52842,1.0,5
52843,1.0,5
52844,1.0,5
52845,1.0,5
52846,1.0,5
52847,1.0,5
52848,1.0,5
52849,1.0,5
52850,1.0,5
52851,1.0,5
52852,1.0,5
52853,1.0,5
52854,1.0,5
52855,1.0,5
52856,1.0,5
52857,1.0,5
52858,1.0,5
52859,1.0,5
52860,1.0,5
52861,1.0,5
52862,1.0,5
52863,1.0,5
52864,1.0,5
52865,1.0,5
52866,1.0,5
52867,1.0,5
52868,1.0,5
52869,1.0,5
52870,1.0,5
52871,1.0,5
52872,1.0,5
52873,1.0,5
52874,1.0,5
52875,1.0,5
52876,1.0,5
52877,1.0,5
52878,1.0,5
52879,1.0,5
52880,1.0,5
52881,1.0,5
52882,1.0,5
52883,1.0,5
52884,1.0,5
52885,1.0,5
52886,1.0,5
52887,1.0,5
52888,1.0,5
52889,1.0,5
52890,1.0,5
52891,1.0,5
52892,1.0,5
52893,1.0,5
52894,1.0,5
52895,1.0,5
52896,1.0,5
52897,1.0,5
52898,1.0,5
52899,1.0,5
52900,1.0,5
52901,1.0,5
52902,1.0,5
52903,1.0,5
52904,1.0,5
52905,1.0,5
52906,1.0,5
52907,1.0,5
52908,1.0,5
52909,1.0,5
52910,1.0,5
52911,1.0,5
52912,1.0,5
52913,1.0,5
52914,1.0,5
52915,1.0,5
52916,1.0,5
52917,1.0,5
52918,1.0,5
52919,1.0,5
52920,1.0,5
52921,1.0,5
52922,1.0,5
52923,1.0,5
52924,1.0,5
52925,1.0,5
52926,1.0,5
52927,1.0,5
52928,1.0,5
52929,1.0,5
52930,1.0,5
52931,1.0,5
52932,1.0,5
52933,1.0,5
52934,1.0,5
52935,1.0,5
52936,1.0,5
52937,1.0,5
52938,1.0,5
52939,1.0,5
52940,1.0,5
52941,1.0,5
52942,1.0,5
52943,1.0,5
52944,1.0,5
52945,1.0,5
52946,1.0,5
52947,1.0,5
52948,1.0,5
52949,1.0,5
52950,1.0,5
52951,1.0,5
52952,1.0,5
52953,1.0,5
52954,1.0,5
52955,1.0,5
52956,1.0,5
52957,1.0,5
52958,1.0,5
52959,1.0,5
52960,1.0,5
52961,1.0,5
52962,1.0,5
52963,1.0,5
52964,1.0,5
52965,1.0,5
52966,1.0,5
52967,1.0,5
52968,1.0,5
52969,1.0,5
52970,1.0,5
52971,1.0,5
52972,1.0,5
52973,1.0,5
52974,1.0,5
52975,1.0,5
52976,1.0,5
52977,1.0,5
52978,1.0,5
52979,1.0,5
52980,1.0,5
52981,1.0,5
52982,1.0,5
52983,1.0,5
52984,1.0,5
52985,1.0,5
52986,1.0,5
52987,1.0,5
52988,1.0,5
52989,1.0,5
52990,1.0,5
52991,1.0,5
52992,1.0,5
52993,1.0,5
52994,1.0,5
52995,1.0,5
52996,1.0,5
52997,1.0,5
52998,1.0,5
52999,1.0,5
53000,1.0,5
53001,1.0,5
53002,1.0,5
53003,1.0,5
53004,1.0,5
53005,1.0,5
53006,1.0,5
53007,1.0,5
53008,1.0,5
53009,1.0,5
53010,1.0,5
53011,1.0,5
53012,1.0,5
53013,1.0,5
53014,1.0,5
53015,1.0,5
53016,1.0,5
53017,1.0,5
53018,1.0,5
53019,1.0,5
53020,1.0,5
53021,1.0,5
53022,1.0,5
53023,1.0,5
53024,1.0,5
53025,1.0,5
53026,1.0,5
53027,1.0,5
53028,1.0,5
53029,1.0,5
53030,1.0,5
53031,1.0,5
53032,1.0,5
53033,1.0,5
53034,1.0,5
53035,1.0,5
53036,1.0,5
53037,1.0,5
53038,1.0,5
53039,1.0,5
53040,1.0,5
53041,1.0,5
53042,1.0,5
53043,1.0,5
53044,1.0,5
53045,1.0,5
53046,1.0,5
53047,1.0,5
53048,1.0,5
53049,1.0,5
53050,1.0,5
53051,1.0,5
53052,1.0,5
53053,1.0,5
53054,1.0,5
53055,1.0,5
53056,1.0,5
53057,1.0,5
53058,1.0,5
53059,1.0,5
53060,1.0,5
53061,1.0,5
53062,1.0,5
53063,1.0,5
53064,1.0,5
53065,1.0,5
53066,1.0,5
53067,1.0,5
53068,1.0,5
53069,1.0,5
53070,1.0,5
53071,1.0,5
53072,1.0,5
53073,1.0,5
53074,1.0,5
53075,1.0,5
53076,1.0,5
53077,1.0,5
53078,1.0,5
53079,1.0,5
53080,1.0,5
53081,1.0,5
53082,1.0,5
53083,1.0,5
53084,1.0,5
53085,1.0,5
53086,1.0,5
53087,1.0,5
53088,1.0,5
53089,1.0,5
53090,1.0,5
53091,1.0,5
53092,1.0,5
53093,1.0,5
53094,1.0,5
53095,1.0,5
53096,1.0,5
53097,1.0,5
53098,1.0,5
53099,1.0,5
53100,1.0,5
53101,1.0,5
53102,1.0,5
53103,1.0,5
53104,1.0,5
53105,1.0,5
53106,1.0,5
53107,1.0,5
53108,1.0,5
53109,1.0,5
53110,1.0,5
53111,1.0,5
53112,1.0,5
53113,1.0,5
53114,1.0,5
53115,1.0,5
53116,1.0,5
53117,1.0,5
53118,1.0,5
53119,1.0,5
53120,1.0,5
53121,1.0,5
53122,1.0,5
53123,1.0,5
53124,1.0,5
53125,1.0,5
53126,1.0,5
53127,1.0,5
53128,1.0,5
53129,1.0,5
53130,1.0,5
53131,1.0,5
53132,1.0,5
53133,1.0,5
53134,1.0,5
53135,1.0,5
53136,1.0,5
53137,1.0,5
53138,1.0,5
53139,1.0,5
53140,1.0,5
53141,1.0,5
53142,1.0,5
53143,1.0,5
53144,1.0,5
53145,1.0,5
53146,1.0,5
53147,1.0,5
53148,1.0,5
53149,1.0,5
53150,1.0,5
53151,1.0,5
53152,1.0,5
53153,1.0,5
53154,1.0,5
53155,1.0,5
53156,1.0,5
53157,1.0,5
53158,1.0,5
53159,1.0,5
53160,1.0,5
53161,1.0,5
